,BU_Level1,BU_Level2,BU_Level3,BU_Level4,yandex_category_id,yandex_category_name
211,"Детские товары, игрушки",Спортивные товары для детей,Спортивный комплекс детский,"Палатка, тоннель игровые детские",10683242,Игровые домики и палатки
212,Одежда,Одежда для беременных и кормящих,Основная одежда для беременных и кормящих,"Платье, сарафан для беременных и кормящих",7811956,Платья
213,Одежда,Одежда для беременных и кормящих,Основная одежда для беременных и кормящих,"Кофта, толстовка, водолазка для беременных",7812081,Свитеры и кардиганы
214,Одежда,Одежда для беременных и кормящих,Основная одежда для беременных и кормящих,"Брюки, леггинсы, лосины для беременных",7812906,Брюки
215,Одежда,Одежда мужская,Основная одежда мужская,Пуловер мужской,7811909,Свитеры и кардиганы
216,Одежда,Одежда мужская,Основная одежда мужская,Жакет мужской,7811899,Жакеты
217,Спортивные товары и товары для активного отдыха,Зимние виды спорта,Лыжный спорт,Мини лыжи,91532,Беговые лыжи
218,"Детские товары, игрушки",Товары для детской комнаты,Декор для детской,Ростомер,13526449,Ростомеры
219,Обувь,Обувь мужская,Обувь мужская летняя,Мужские Сандалии,7920671,Сандалии
220,"Парфюмерия, косметика",Косметические аксессуары,Парикмахерские принадлежности,Ножницы и бритвы парикмахерские,16642686,Инструменты парикмахера и сумки для инструмента
221,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Футбол,Бутсы,8268550,Обувь для спорта
222,Галантерея,Аксессуары,Головные уборы,Женская повязка на голову утепленная,14993483,"Резинки, ободки, повязки"
223,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,Шлем для бокса,294675,Спортивная защита
224,Ювелирные изделия,Серебро,Серьги серебро,Серебро серьги длинные,91275,Серьги
225,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда женская,"Брюки, шорты, леггинсы домашние женские",7812906,Брюки
226,Галантерея,Бижутерия,Браслет бижу,Бижу браслет с подвесками,10682603,Украшения для девочек
227,"Детские товары, игрушки",Товары для детской комнаты,Декор для детской,"Шкатулка, копилка детская",6858918,Копилки
228,Продукты питания,Кондитерские изделия,Восточные сладости,Щербет,278342,"Картины, постеры, гобелены, панно"
229,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Колокольчик авторский,14441498,Прочие сувениры
230,Галантерея,Сумки,Сумка мужская,Барсетка,7812201,Сумки
231,"Детские товары, игрушки",Спортивные товары для детей,Спортивный комплекс детский,"Качели, качалка детские",10683232,Качели
232,Обувь,Обувь мужская,Обувь мужская летняя,Мужские Мокасины,7814995,Мокасины
233,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Игрушка авторская,10682610,Мягкие игрушки
234,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Елочная игрушка авторская,10563370,Елочные украшения
235,Продукты питания,Кондитерские изделия,Восточные сладости,Нуга,14994924,Краски
236,Одежда,Одежда мужская,Основная одежда мужская,Блейзер мужской,7811899,Жакеты
237,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Брелок авторский,7812196,Брелоки и ключницы
238,Галантерея,Бижутерия,Браслет бижу,Бижу браслет из бусин,1634396,Браслеты
239,"Детские товары, игрушки",Товары для детской комнаты,Декор для детской,Фоторамка детская,14698788,Фоторамки
240,Галантерея,Бижутерия,Браслет бижу,Бижу комплект браслетов женский,,
241,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,Боксерки,14730866,Боксерские
242,Одежда,Одежда для беременных и кормящих,Основная одежда для беременных и кормящих,Комплект одежды для беременных и кормящих,7811956,Платья
243,Одежда,Одежда мужская,Основная одежда мужская,Костюм мужской,922144,Карнавальные костюмы
244,"Рукоделие, творчество, хобби",Рисование для детей,Товары для художников,Маркер для скетчинга,13626061,Фломастеры
245,"Детские товары, игрушки",Товары для детской комнаты,Декор для детской,Аксессуары для декора детской,13626724,Украшения и декоративные элементы
246,"Парфюмерия, косметика",Парфюмерия,Парфюмерия для мужчин,Парфюмерный набор мужской,15927546,Парфюмерия
247,"Парфюмерия, косметика",Косметические аксессуары,Парикмахерские принадлежности,"Зажимы, заколки, валики парикмахерские",14993459,Заколки
248,"Парфюмерия, косметика",Косметические аксессуары,Парикмахерские принадлежности,Прочие парикмахерские принадлежности,16642686,Инструменты парикмахера и сумки для инструмента
249,"Парфюмерия, косметика",Косметические аксессуары,Парикмахерские принадлежности,"Мерные емкости, распылители парикмахерские",12500996,Мерные емкости и сита
250,"Парфюмерия, косметика",Косметические аксессуары,Парикмахерские принадлежности,"Шапочки, пеньюары, палерины для парикмахерских",16643192,Принадлежности для парикмахерских
251,"Парфюмерия, косметика",Косметические аксессуары,Парикмахерские принадлежности,"Перчатки, фартуки, халаты парикмахерские",12501736,"Рукавицы, прихватки, фартуки"
252,"Мебель, интерьер и декор",Мебель,Компьютерная и офисная мебель,Компьютерные и офисные столы,10785221,Компьютерные и письменные столы
253,"Мебель, интерьер и декор",Мебель,Компьютерная и офисная мебель,Офисные тумбы,7286537,Тумбы
254,Галантерея,Бижутерия,Браслет бижу,Бижу браслет кожаный,1634396,Браслеты
255,Галантерея,Сумки,Сумка мужская,"Мужской Портфель, папка",7920819,Портфели
256,Ювелирные изделия,Серебро,Серьги серебро,Серебро серьги-пусеты,91275,Серьги
257,Галантерея,Аксессуары,Головные уборы,Женская панама,7812019,Головные уборы
258,Галантерея,Бижутерия,Браслет бижу,Бижу браслет анклет (на ногу),16742659,Украшения на тело
259,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Упаковка авторская,91299,Подарочная упаковка
260,"Мебель, интерьер и декор",Коллекционирование Хоум Декор,Аксессуары для коллекционирования,Аксессуары для коллекционирования марок,6101499,Нумизматика и филателия
261,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Бокс,"Майка, трусы боксерские",7812177,Трусы
262,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда мужская,Халат мужской,7812163,Домашняя одежда
263,"Детские товары, игрушки",Спортивные товары для детей,Спортивный комплекс детский,Спорткомплекс домашний детский,10683235,Игровые и спортивные комплексы и горки
264,"Детские товары, игрушки",Спортивные товары для детей,Спортивный комплекс детский,Горка детская,10683235,Игровые и спортивные комплексы и горки
265,Продукты питания,Бакалея,Пищевые материалы,Оболочка для колбас,15753350,Субпродукты мясные
266,Одежда,Одежда спортивная,Термобелье спортивное,Термобелье женское - комплект,8276627,Термобелье
267,Галантерея,Аксессуары,"Перчатки, варежки",Женские перчатки трикотажные,7811940,Перчатки и варежки
268,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда женская,Лонгслив домашний женский,7811902,Футболки и топы
269,"Детские товары, игрушки",Спортивные товары для детей,Товары для подвижных игр,Рогатка игрушечная,10682597,Игрушечное оружие и бластеры
270,"Мебель, интерьер и декор",Мебель,Компьютерная и офисная мебель,Парта,11870336,Парты и столы
271,"Детские товары, игрушки",Спортивные товары для детей,Спортивный комплекс детский,Спорткомплекс для улицы детский,10683235,Игровые и спортивные комплексы и горки
272,Ювелирные изделия,Серебро,Серьги серебро,Серебро серьги люстры,91275,Серьги
273,Галантерея,Бижутерия,Браслет бижу,Бижу браслет глидерный,,
274,"Детские товары, игрушки",Спортивные товары для детей,Спортивный комплекс детский,Спорткомплекс надувной детский,10683235,Игровые и спортивные комплексы и горки
275,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда мужская,"Брюки, шорты, леггинсы домашние мужские",7812053,Брюки и шорты
276,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Брошь авторская,1634439,Броши
277,Галантерея,Кожгалантереи,"Ремень, пояс, подтяжки",Мужской кожаный ремень,7812175,Ремни и пояса
278,"Мебель, интерьер и декор",Мебель,Компьютерная и офисная мебель,Игровые столы,4017798,Игровые столы
279,Одежда,Одежда для беременных и кормящих,Домашняя одежда для беременных и кормящих,Халат для беременных и кормящих,7811972,Домашняя одежда
280,Галантерея,Сумки,Сумка мужская,Мужская Сумка на пояс,7812201,Сумки
281,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Комплект украшений авторский,13626503,Наборы для создания украшений
282,"Детские товары, игрушки",Спортивные товары для детей,Товары для подвижных игр,"Фрисби, планер",10683249,Фрисби
283,"Детские товары, игрушки",Спортивные товары для детей,Товары для подвижных игр,Воздушный змей,10683241,Воздушные змеи
284,Ювелирные изделия,Серебро,Серьги серебро,"Серебро серьги, клипсы детские",1634405,Серьги
285,Галантерея,Аксессуары,"Перчатки, варежки",Мужские перчатки авто,7812170,Перчатки и варежки
286,Одежда,Одежда для беременных и кормящих,Основная одежда для беременных и кормящих,"Джемпер, кардиган для беременных и кормящих",7812081,Свитеры и кардиганы
287,Галантерея,Сумки,Сумка мужская,Мужская Сумка-планшет,7812201,Сумки
288,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда мужская,Пижама мужская,7811911,Домашняя одежда
289,Продукты питания,Кондитерские изделия,Восточные сладости,Джезерье,91344,Восточные сладости
290,Галантерея,Сумки,Сумка мужская,Мужская Сумка с ручками,7812201,Сумки
291,"Рукоделие, творчество, хобби",Рисование для детей,Товары для художников,Держатель для пера,91502,Держатели для мобильных устройств
292,Ювелирные изделия,Серебро,Серьги серебро,Серебро серьги французский замок,91275,Серьги
293,Ювелирные изделия,Серебро,Серьги серебро,Серебро серьги протяжки,91275,Серьги
294,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда мужская,Футболка домашняя мужская,7812151,Футболки и майки
295,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда женская,Футболка домашняя женская,7811902,Футболки и топы
296,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда мужская,Лонгслив домашний мужской,7812151,Футболки и майки
297,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда мужская,Толстовка домашняя мужская,7812158,Толстовки
298,Ювелирные изделия,Серебро,Серьги серебро,Серебро серьги конго (кольца),91275,Серьги
299,Ювелирные изделия,Серебро,Серьги серебро,Серебро серьга одиночная (моно) женская,16742536,Украшения на тело
300,Спортивные товары и товары для активного отдыха,Туризм,"Приготовление пищи, посуда туристическая","Газовая горелка с баллоном, баллон",13446358,Туристические горелки
301,Продукты питания,Кондитерские изделия,Восточные сладости,Козинаки,91344,Восточные сладости
302,Канцелярские товары,Писче-бумажная продукция,"Бланки, этикетки",Бланк бухгалтерский,90753,"Бухгалтерские книги, бланки, формы"
303,Галантерея,Аксессуары,Головные уборы,Наушники зимние,90555,Наушники и Bluetooth-гарнитуры
304,Галантерея,Аксессуары,"Перчатки, варежки",Муфта,13525592,Аксессуары для колясок и автокресел
305,Галантерея,Бижутерия,Браслет бижу,Бижу браслет со вставками мужской,1634396,Браслеты
306,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Запонки авторские,16742647,Запонки и зажимы
307,Канцелярские товары,Писче-бумажная продукция,"Ежедневники, еженедельники, планнер",Ежедневник будущей мамы,90747,"Ежедневники, записные книжки"
308,"Парфюмерия, косметика",Косметические аксессуары,Парикмахерские принадлежности,"Расчески, брашинги парикмахерские",13243353,Расчески и щетки
309,Одежда,Одежда для беременных и кормящих,Основная одежда для беременных и кормящих,Футболка для беременных,7811968,Футболки и майки
310,Спортивные товары и товары для активного отдыха,Всесезонные виды спорта,Футбол,Манишка для футбола,7940839,Футболки и майки
311,Ювелирные изделия,Серебро,Серьги серебро,Серебро серьги зажимы женские,91275,Серьги
312,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские",Кукла авторская,10682550,Куклы и пупсы
313,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские","Обложка, чехол авторские",7812199,Обложки для документов
314,Одежда,"Домашняя одежда, ЧНИ, белье",Домашняя одежда женская,Толстовка домашняя женская,7811908,Толстовки
315,Галантерея,Путешествия,"Дорожные сумки, тележки",Бьюти-кейс дорожный,7812212,Косметички и бьюти-кейсы
316,"Рукоделие, творчество, хобби",Рисование для детей,Товары для художников,Перо,13858511,Ручки
317,"Рукоделие, творчество, хобби",Хобби детское,Моделирование,Дополнения для сборных моделей,10683226,Сборные модели
318,"Парфюмерия, косметика",Косметика для ухода за волосами,Стайлинг для мужчин,Глина для укладки мужская,13239550,Воск и паста
319,Галантерея,Путешествия,"Дорожные сумки, тележки",Портплед,7812208,Дорожные и спортивные сумки
320,"Мебель, интерьер и декор",Коллекционирование Хоум Декор,Аксессуары для коллекционирования,Капсула для монет,6101499,Нумизматика и филателия
321,Ювелирные изделия,Серебро,Серьги серебро,Серебро серьга одиночная (моно) мужская,16742536,Украшения на тело
322,Галантерея,Кожгалантереи,"Бумажник, портмоне, кошелек",Мужская Ключница,7812196,Брелоки и ключницы
323,Галантерея,Кожгалантереи,"Ремень, пояс, подтяжки",Женский текстильный пояс,7812175,Ремни и пояса
324,"Мебель, интерьер и декор",Авторская работа Хоум Декор,"Сувениры, подарки авторские","Принт, плакат авторский",13482954,Обучающие плакаты
325,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Конструктор,Конструктор LEGO,10470548,Конструкторы
326,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Конструктор,Конструктор пластиковый,10470548,Конструкторы
327,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Конструктор,Конструктор мягкий,10470548,Конструкторы
328,"Рукоделие, творчество, хобби",Рисование для детей,"Набор для рисования, росписи для детей",Набор для рисования детский,13626237,Доски и мольберты
329,"Рукоделие, творчество, хобби",Рисование для детей,"Набор для рисования, росписи для детей",Набор для росписи детский,15510336,Роспись предметов
330,Программное обеспечение,Компьютерные и видеоигры,Видеоигры,Видеоигра,14960839,Игры для приставок и ПК
331,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Конструктор,Конструктор бумажный,10470548,Конструкторы
332,"Рукоделие, творчество, хобби",Хобби детское,Головоломка,Головоломка,13488571,Головоломки
333,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества","Набор для изготовления игрушки, куклы детский",15525081,Изготовление кукол и игрушек
334,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Фигурки,Фигурки и аксессуары,10683227,Игровые наборы и фигурки
335,Книги,Календари,Календари,Календари,91008,Календари
336,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,Лепка для детей,Лепка из пластилина для детей,10792924,Пластилин и масса для лепки
337,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Наклейки и трафареты новогодние,14994948,"Наклейки, трафареты, фольга"
338,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Радиоуправляемая игрушка,Модель автомобиля р/у,"10682592,14808696","Машинки и техника,Радиоуправляемые игрушки"
339,"Рукоделие, творчество, хобби",Хобби детское,"Научно-познавательные материалы, приборы","Набор для исследований, экспериментов",10790731,Наборы для исследований
340,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества",Набор развивающий для творчества детский,6430985,Поделки и аппликации
341,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детская декоративная косметика,Лак для ногтей детский,4748058,Лак для ногтей
342,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детская декоративная косметика,Душистая вода детская,8480736,Косметика и духи
343,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,Лепка для детей,Лепка из глины для детей,13625828,Глина
344,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества",Набор для папье-маше детский,6430985,Поделки и аппликации
345,"Парфюмерия, косметика",Косметические средства для детей и беременных,Детская декоративная косметика,Блеск для губ детский,8480752,Блески и тинты
346,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Конструктор,Конструктор деревянный,10470548,Конструкторы
347,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества","Набор для аппликаций, коллажей детский",6430985,Поделки и аппликации
348,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Радиоуправляемая игрушка,Военная техника р/у,10682592,Машинки и техника
349,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Елочное украшение новогоднее,10563370,Елочные украшения
350,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Украшение новогоднее интерьерное,543488,Новогодний декор
351,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Шары елочные новогодние,10563370,Елочные украшения
352,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Елка напольная новогодняя,543487,Елки искусственные
353,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Елка настольная новогодняя,543487,Елки искусственные
354,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,Лепка для детей,Приспособление для лепки для детей,10792924,Пластилин и масса для лепки
355,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества","Набор для создания украшений, аксессуаров детский",13626503,Наборы для создания украшений
356,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Фигурки,Трансформер,10682618,Роботы и трансформеры
357,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Радиоуправляемая игрушка,Машинка р/у,10682592,Машинки и техника
358,Электроника и электротовары,Игровые приставки и аксессуары,Сумка для игровой приставки,Сумка для игровой приставки,186461,Аксессуары
359,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Оружие игрушечное,Бластер,10682597,Игрушечное оружие и бластеры
360,Электроника и электротовары,Игровые приставки и аксессуары,Игровая атрибутика,"Игровая атрибутика, фигурки персонажей",10683227,Игровые наборы и фигурки
361,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Электрогирлянда новогодняя,543488,Новогодний декор
362,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Светящаяся фигура новогодняя,989179,Новогодние фигурки и сувениры
363,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Мешок для подарков новогодний,91299,Подарочная упаковка
364,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,"Мишура, дождик новогодние",543488,Новогодний декор
365,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,"Свеча, подсвечник новогодние",12859763,Подсвечники
366,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,"Костюм, колпак, грим, маска новогодние",922144,Карнавальные костюмы
367,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Гирлянда-растяжка новогодняя,543488,Новогодний декор
368,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Сувенир новогодний,989179,Новогодние фигурки и сувениры
369,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества",Набор для изготовления мыла детский,10792934,Наборы для мыловарения
370,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества",Набор для создания различных поделок детский,6430985,Поделки и аппликации
371,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Конструктор,Конструктор магнитный,10470548,Конструкторы
372,"Рукоделие, творчество, хобби",Хобби детское,"Научно-познавательные материалы, приборы","Микроскоп, телескоп детский",10790732,Детские микроскопы и телескопы
373,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,"Хлопушка, конфетти, серпантин новогодние",215930,Фейерверки
374,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Радиоуправляемая игрушка,Игрушка р/у,14808696,Радиоуправляемые игрушки
375,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества",Набор для создания фоторамки детский,6430985,Поделки и аппликации
376,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества",Набор для создания барельефа детский,15845159,Гипс
377,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества",Набор для создания гравюры детский,13626140,Гравюры
378,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Мягкая игрушка,Мягкая игрушка - кино и мультгерои,10682610,Мягкие игрушки
379,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Радиоуправляемая игрушка,Робот р/у,10682618,Роботы и трансформеры
380,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Оружие игрушечное,"Автомат, пистолет, ружье игрушечные",10682597,Игрушечное оружие и бластеры
381,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Оружие игрушечное,"Патроны, пули, мишень игрушечные",10682597,Игрушечное оружие и бластеры
382,Текстиль,Столовый текстиль,Набор столовый,Набор столовый,90693,Столовые приборы
383,Спортивные товары и товары для активного отдыха,Рыбалка,Зимняя рыбалка,Ледобур рыболовный,7775900,Ледобуры
384,Спортивные товары и товары для активного отдыха,Рыбалка,Зимняя рыбалка,Палатка зимняя для рыбалки,91519,Палатки
385,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества","Набор для создания косметики, духов детский",8480736,Косметика и духи
386,Программное обеспечение,Цифровой контент,Код активации,Код активации,16762959,Контрольно-кассовая техника
387,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,Лепка для детей,Лепка из песка для детей,13626085,Фрески
388,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Мягкая игрушка,Мягкая игрушка,10682610,Мягкие игрушки
389,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Оружие игрушечное,"Боевое снаряжение, доспехи игрушечные",10682597,Игрушечное оружие и бластеры
390,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Радиоуправляемая игрушка,"Самолеты, вертолеты, квадрокоптеры р/у",14808696,Радиоуправляемые игрушки
391,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,Лепка для детей,Лепка из массы для детей,10792924,Пластилин и масса для лепки
392,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества",Набор для создания фресок детский,13626085,Фрески
393,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества",Набор для изготовления свечей детский,15521912,Изготовление свечей
394,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества",Набор для поделок из дерева детский,6430985,Поделки и аппликации
395,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества",Набор для фокусов детский,10682647,Настольные игры
396,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,"Фигуры деда мороза, снегурчки, снеговика",989179,Новогодние фигурки и сувениры
397,"Мебель, интерьер и декор",Предмет интерьера,Принадлежности для нового года,Подарочная упаковка новогодняя,91299,Подарочная упаковка
398,Продукты питания,Кондитерские изделия,Кондитерские изделия,Жевательная резинка,91346,Жевательная резинка
399,Продукты питания,Кондитерские изделия,Конфеты,Конфеты,15714102,"Конфеты в коробках, подарочные наборы"
400,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,Вышивание для детей,Набор для вышивания детский,6430983,Наборы для вышивания
401,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества","Набор для создания поделок из бумаги, картона деткий",6430985,Поделки и аппликации
402,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,"Набор для детского рукоделия, творчества",Набор для создания поделок с магнитами детский,6430985,Поделки и аппликации
403,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,Лепка для детей,Лепка из теста для детей,10792924,Пластилин и масса для лепки
404,Продукты питания,Кондитерские изделия,Конфеты,Марципан,15714102,"Конфеты в коробках, подарочные наборы"
405,"Рукоделие, творчество, хобби",Рукоделие и творчество для детей,Лепка для детей,Лепка из гипса для детей,15845159,Гипс
406,Галантерея,Бижутерия,Брошь бижу,Значок,1568900,"Дипломы, медали, значки"
407,"Детские товары, игрушки","Игрушки, игры, развивающие игры",Мягкая игрушка,Мягкая игрушка - антистресс,10682610,Мягкие игрушки
